sample,original,bird,site,species,speciessite
2,479,CHSP05,Cloaca,Chipping Sparrow,CHSP_Cloaca
8,473,CHSP03,Cloaca,Chipping Sparrow,CHSP_Cloaca
20,493,CHSP08,Cloaca,Chipping Sparrow,CHSP_Cloaca
22,500,CHSP11,Preen,Chipping Sparrow,CHSP_Preen
24,83,DEJU12,Cloaca,Dark-eyed Junco,DEJU_Cloaca
31,19,DEJU03,Cloaca,Dark-eyed Junco,DEJU_Cloaca
32,69,DEJU06,Cloaca,Dark-eyed Junco,DEJU_Cloaca
35,56,DEJU19,Preen,Dark-eyed Junco,DEJU_Preen
39,475,CHSP04,Cloaca,Chipping Sparrow,CHSP_Cloaca
42,49,DEJU18,Cloaca,Dark-eyed Junco,DEJU_Cloaca
48,67,DEJU11,Cloaca,Dark-eyed Junco,DEJU_Cloaca
54,60,DEJU04,Preen,Dark-eyed Junco,DEJU_Preen
55,13,DEJU01,Cloaca,Dark-eyed Junco,DEJU_Cloaca
63,111,DEJU25,Cloaca,Dark-eyed Junco,DEJU_Cloaca
66,23,DEJU08,Preen,Dark-eyed Junco,DEJU_Preen
70,17,DEJU02,Preen,Dark-eyed Junco,DEJU_Preen
77,92,DEJU23,Preen,Dark-eyed Junco,DEJU_Preen
87,25,DEJU09,Cloaca,Dark-eyed Junco,DEJU_Cloaca
88,29,DEJU13,Preen,Dark-eyed Junco,DEJU_Preen
93,476,CHSP04,Preen,Chipping Sparrow,CHSP_Preen
95,50,DEJU18,Preen,Dark-eyed Junco,DEJU_Preen
97,68,DEJU11,Preen,Dark-eyed Junco,DEJU_Preen
103,480,CHSP05,Preen,Chipping Sparrow,CHSP_Preen
120,42,DEJU16,Preen,Dark-eyed Junco,DEJU_Preen
123,472,CHSP02,Preen,Chipping Sparrow,CHSP_Preen
150,38,DEJU15,Cloaca,Dark-eyed Junco,DEJU_Cloaca
152,94,DEJU24,Preen,Dark-eyed Junco,DEJU_Preen
156,122,DEJU26,Preen,Dark-eyed Junco,DEJU_Preen
160,59,DEJU04,Cloaca,Dark-eyed Junco,DEJU_Cloaca
169,84,DEJU12,Preen,Dark-eyed Junco,DEJU_Preen
173,41,DEJU16,Cloaca,Dark-eyed Junco,DEJU_Cloaca
178,22,DEJU08,Cloaca,Dark-eyed Junco,DEJU_Cloaca
180,499,CHSP11,Cloaca,Chipping Sparrow,CHSP_Cloaca
184,495,CHSP09,Cloaca,Chipping Sparrow,CHSP_Cloaca
186,501,CHSP12,Cloaca,Chipping Sparrow,CHSP_Cloaca
195,54,DEJU21,Cloaca,Dark-eyed Junco,DEJU_Cloaca
198,47,DEJU17,Cloaca,Dark-eyed Junco,DEJU_Cloaca
200,16,DEJU02,Cloaca,Dark-eyed Junco,DEJU_Cloaca
203,53,DEJU21,Preen,Dark-eyed Junco,DEJU_Preen
205,121,DEJU26,Cloaca,Dark-eyed Junco,DEJU_Cloaca
207,492,CHSP07,Preen,Chipping Sparrow,CHSP_Preen
214,497,CHSP10,Cloaca,Chipping Sparrow,CHSP_Cloaca
216,14,DEJU01,Preen,Dark-eyed Junco,DEJU_Preen
237,482,CHSP06,Preen,Chipping Sparrow,CHSP_Preen
238,70,DEJU06,Preen,Dark-eyed Junco,DEJU_Preen
246,57,DEJU22,Cloaca,Dark-eyed Junco,DEJU_Cloaca
262,471,CHSP02,Cloaca,Chipping Sparrow,CHSP_Cloaca
264,93,DEJU24,Cloaca,Dark-eyed Junco,DEJU_Cloaca
268,62,DEJU05,Preen,Dark-eyed Junco,DEJU_Preen
283,494,CHSP08,Preen,Chipping Sparrow,CHSP_Preen
284,20,DEJU03,Preen,Dark-eyed Junco,DEJU_Preen
287,28,DEJU07,Cloaca,Dark-eyed Junco,DEJU_Cloaca
297,65,DEJU10,Cloaca,Dark-eyed Junco,DEJU_Cloaca
298,474,CHSP03,Preen,Chipping Sparrow,CHSP_Preen
319,496,CHSP09,Preen,Chipping Sparrow,CHSP_Preen
326,498,CHSP10,Preen,Chipping Sparrow,CHSP_Preen
327,39,DEJU15,Preen,Dark-eyed Junco,DEJU_Preen
329,502,CHSP12,Preen,Chipping Sparrow,CHSP_Preen
342,51,DEJU20,Cloaca,Dark-eyed Junco,DEJU_Cloaca
346,26,DEJU09,Preen,Dark-eyed Junco,DEJU_Preen
348,55,DEJU19,Cloaca,Dark-eyed Junco,DEJU_Cloaca
350,48,DEJU17,Preen,Dark-eyed Junco,DEJU_Preen
352,52,DEJU20,Preen,Dark-eyed Junco,DEJU_Preen
357,61,DEJU05,Cloaca,Dark-eyed Junco,DEJU_Cloaca
363,66,DEJU10,Preen,Dark-eyed Junco,DEJU_Preen
365,91,DEJU23,Cloaca,Dark-eyed Junco,DEJU_Cloaca
371,58,DEJU22,Preen,Dark-eyed Junco,DEJU_Preen
372,491,CHSP07,Cloaca,Chipping Sparrow,CHSP_Cloaca
373,112,DEJU25,Preen,Dark-eyed Junco,DEJU_Preen
377,481,CHSP06,Cloaca,Chipping Sparrow,CHSP_Cloaca
