,Observed,Shannon,Simpson,bird,site,species,speciessite
2,702,6.553933404,0.998575499,CHSP05,Cloaca,Chipping Sparrow,CHSP_Cloaca
8,1002,6.909753282,0.999001996,CHSP03,Cloaca,Chipping Sparrow,CHSP_Cloaca
20,815,6.703188113,0.998773006,CHSP08,Cloaca,Chipping Sparrow,CHSP_Cloaca
22,494,6.202535517,0.997975709,CHSP11,Preen,Chipping Sparrow,CHSP_Preen
24,622,6.432940093,0.998392283,DEJU12,Cloaca,Dark-eyed Junco,DEJU_Cloaca
31,436,6.077642243,0.997706422,DEJU03,Cloaca,Dark-eyed Junco,DEJU_Cloaca
32,443,6.09356977,0.997742664,DEJU06,Cloaca,Dark-eyed Junco,DEJU_Cloaca
35,309,5.733341277,0.996763754,DEJU19,Preen,Dark-eyed Junco,DEJU_Preen
39,199,5.293304825,0.994974874,CHSP04,Cloaca,Chipping Sparrow,CHSP_Cloaca
42,513,6.240275845,0.998050682,DEJU18,Cloaca,Dark-eyed Junco,DEJU_Cloaca
48,470,6.152732695,0.99787234,DEJU11,Cloaca,Dark-eyed Junco,DEJU_Cloaca
54,239,5.476463552,0.9958159,DEJU04,Preen,Dark-eyed Junco,DEJU_Preen
55,1255,7.134890852,0.999203187,DEJU01,Cloaca,Dark-eyed Junco,DEJU_Cloaca
63,930,6.835184586,0.998924731,DEJU25,Cloaca,Dark-eyed Junco,DEJU_Cloaca
66,448,6.104793232,0.997767857,DEJU08,Preen,Dark-eyed Junco,DEJU_Preen
70,375,5.926926026,0.997333333,DEJU02,Preen,Dark-eyed Junco,DEJU_Preen
77,1194,7.085064294,0.999162479,DEJU23,Preen,Dark-eyed Junco,DEJU_Preen
87,353,5.866468057,0.997167139,DEJU09,Cloaca,Dark-eyed Junco,DEJU_Cloaca
88,540,6.29156914,0.998148148,DEJU13,Preen,Dark-eyed Junco,DEJU_Preen
93,264,5.575949103,0.996212121,CHSP04,Preen,Chipping Sparrow,CHSP_Preen
95,77,4.343805422,0.987012987,DEJU18,Preen,Dark-eyed Junco,DEJU_Preen
97,168,5.123963979,0.994047619,DEJU11,Preen,Dark-eyed Junco,DEJU_Preen
103,778,6.656726524,0.998714653,CHSP05,Preen,Chipping Sparrow,CHSP_Preen
120,426,6.054439346,0.997652582,DEJU16,Preen,Dark-eyed Junco,DEJU_Preen
123,133,4.890349128,0.992481203,CHSP02,Preen,Chipping Sparrow,CHSP_Preen
150,129,4.859812404,0.992248062,DEJU15,Cloaca,Dark-eyed Junco,DEJU_Cloaca
152,263,5.572154032,0.996197719,DEJU24,Preen,Dark-eyed Junco,DEJU_Preen
156,747,6.616065185,0.998661312,DEJU26,Preen,Dark-eyed Junco,DEJU_Preen
160,136,4.912654886,0.992647059,DEJU04,Cloaca,Dark-eyed Junco,DEJU_Cloaca
169,559,6.326149473,0.998211091,DEJU12,Preen,Dark-eyed Junco,DEJU_Preen
173,598,6.393590754,0.998327759,DEJU16,Cloaca,Dark-eyed Junco,DEJU_Cloaca
178,378,5.934894196,0.997354497,DEJU08,Cloaca,Dark-eyed Junco,DEJU_Cloaca
180,293,5.680172609,0.996587031,CHSP11,Cloaca,Chipping Sparrow,CHSP_Cloaca
184,667,6.502790046,0.99850075,CHSP09,Cloaca,Chipping Sparrow,CHSP_Cloaca
186,425,6.052089169,0.997647059,CHSP12,Cloaca,Chipping Sparrow,CHSP_Cloaca
