locus_tag	ftype	length_bp	gene	EC_number	COG	product
NDPPBKPF_00001	CDS	345	mbeC			Mobilization protein MbeC
NDPPBKPF_00002	CDS	462				hypothetical protein
NDPPBKPF_00003	CDS	708				hypothetical protein
NDPPBKPF_00004	CDS	264				hypothetical protein
NDPPBKPF_00005	CDS	216				hypothetical protein
NDPPBKPF_00006	CDS	498				hypothetical protein
NDPPBKPF_00007	tRNA	76				tRNA-Ala(tgc)
NDPPBKPF_00008	tRNA	77				tRNA-Ile(gat)
NDPPBKPF_00009	tRNA	76				tRNA-Glu(ttc)
NDPPBKPF_00010	tRNA	76				tRNA-Ala(tgc)
NDPPBKPF_00011	tRNA	77				tRNA-Ile(gat)
NDPPBKPF_00012	CDS	351				hypothetical protein
NDPPBKPF_00013	CDS	117	entB	6.3.2.14	COG1535	Enterobactin synthase component B
NDPPBKPF_00014	CDS	243				hypothetical protein
NDPPBKPF_00015	CDS	594	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
NDPPBKPF_00016	CDS	975	cysB			HTH-type transcriptional regulator CysB
NDPPBKPF_00017	CDS	168				hypothetical protein
NDPPBKPF_00018	CDS	2673	acnA	4.2.1.3	COG1048	Aconitate hydratase A
NDPPBKPF_00019	CDS	603	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
NDPPBKPF_00020	CDS	768	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
NDPPBKPF_00021	CDS	309	lapA		COG3771	Lipopolysaccharide assembly protein A
NDPPBKPF_00022	CDS	1170	lapB		COG2956	Lipopolysaccharide assembly protein B
NDPPBKPF_00023	CDS	738	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
NDPPBKPF_00024	CDS	327	yciH		COG0023	putative protein YciH
NDPPBKPF_00025	CDS	222	osmB			Osmotically-inducible lipoprotein B
NDPPBKPF_00026	CDS	750	srlR_1		COG1349	Glucitol operon repressor
NDPPBKPF_00027	CDS	180				hypothetical protein
NDPPBKPF_00028	CDS	1935	rnb	3.1.13.1	COG4776	Exoribonuclease 2
NDPPBKPF_00029	CDS	1158				hypothetical protein
NDPPBKPF_00030	CDS	789	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
NDPPBKPF_00031	CDS	543	ves		COG3758	Protein Ves
NDPPBKPF_00032	CDS	1431				hypothetical protein
NDPPBKPF_00033	CDS	810	sapF		COG4167	Peptide transport system ATP-binding protein SapF
NDPPBKPF_00034	CDS	993	sapD		COG4170	Peptide transport system ATP-binding protein SapD
NDPPBKPF_00035	CDS	891	sapC		COG4171	Peptide transport system permease protein SapC
NDPPBKPF_00036	CDS	1188	intS_1		COG0582	Prophage integrase IntS
NDPPBKPF_00037	CDS	1110				hypothetical protein
NDPPBKPF_00038	CDS	3150				hypothetical protein
NDPPBKPF_00039	CDS	156				hypothetical protein
NDPPBKPF_00040	CDS	192				hypothetical protein
NDPPBKPF_00041	CDS	309				hypothetical protein
NDPPBKPF_00042	CDS	537				hypothetical protein
NDPPBKPF_00043	CDS	93				hypothetical protein
NDPPBKPF_00044	CDS	795				hypothetical protein
NDPPBKPF_00045	CDS	840				hypothetical protein
NDPPBKPF_00046	CDS	429	tolR		COG0848	Tol-Pal system protein TolR
NDPPBKPF_00047	CDS	693	tolQ		COG0811	Tol-Pal system protein TolQ
NDPPBKPF_00048	CDS	405	ybgC	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
NDPPBKPF_00049	CDS	291				hypothetical protein
NDPPBKPF_00050	CDS	117	cydX	7.1.1.7	COG4890	Cytochrome bd-I ubiquinol oxidase subunit X
NDPPBKPF_00051	CDS	1140	cydB_1	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
NDPPBKPF_00052	CDS	1569	cydA_1	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
NDPPBKPF_00053	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
NDPPBKPF_00054	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
NDPPBKPF_00055	CDS	1227	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
NDPPBKPF_00056	CDS	2808	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
NDPPBKPF_00057	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
NDPPBKPF_00058	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
NDPPBKPF_00059	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
NDPPBKPF_00060	CDS	405	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
NDPPBKPF_00061	CDS	1284	gltA_1	2.3.3.16	COG0372	Citrate synthase
NDPPBKPF_00062	CDS	792	nei	3.2.2.-	COG0266	Endonuclease 8
NDPPBKPF_00063	CDS	645	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
NDPPBKPF_00064	CDS	996				hypothetical protein
NDPPBKPF_00065	CDS	726				hypothetical protein
NDPPBKPF_00066	CDS	744	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
NDPPBKPF_00067	CDS	933	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
NDPPBKPF_00068	CDS	657	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
NDPPBKPF_00069	CDS	744	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
NDPPBKPF_00070	CDS	1479	dtpD		COG3104	Dipeptide permease D
NDPPBKPF_00071	CDS	1443	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
NDPPBKPF_00072	CDS	207				hypothetical protein
NDPPBKPF_00073	CDS	1680	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
NDPPBKPF_00074	CDS	2049	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
NDPPBKPF_00075	CDS	576	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
NDPPBKPF_00076	CDS	2688	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
NDPPBKPF_00077	CDS	678	kdpE		COG0745	KDP operon transcriptional regulatory protein KdpE
NDPPBKPF_00078	CDS	438				hypothetical protein
NDPPBKPF_00079	CDS	1641	pgm	5.4.2.2	COG0033	Phosphoglucomutase
NDPPBKPF_00080	CDS	693	seqA			Negative modulator of initiation of replication
NDPPBKPF_00081	CDS	774	ybfF	3.1.-.-	COG0596	Esterase YbfF
NDPPBKPF_00082	CDS	294	ybfE			putative protein YbfE
NDPPBKPF_00083	CDS	531	fldA		COG0716	Flavodoxin
NDPPBKPF_00084	CDS	453	fur		COG0735	Ferric uptake regulation protein
NDPPBKPF_00085	CDS	516				hypothetical protein
NDPPBKPF_00086	CDS	333	chiQ			putative lipoprotein ChiQ
NDPPBKPF_00087	CDS	1404	chiP			Chitoporin
NDPPBKPF_00088	CDS	309				hypothetical protein
NDPPBKPF_00089	CDS	1668	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
NDPPBKPF_00090	CDS	1956	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
NDPPBKPF_00091	CDS	801	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
NDPPBKPF_00092	CDS	1149	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
NDPPBKPF_00093	CDS	1221	nagC_1		COG1940	N-acetylglucosamine repressor
NDPPBKPF_00094	CDS	753	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
NDPPBKPF_00095	CDS	1665	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
NDPPBKPF_00096	tRNA	77				tRNA-Met(cat)
NDPPBKPF_00097	tRNA	85				tRNA-Leu(tag)
NDPPBKPF_00098	tRNA	75				tRNA-Gln(ttg)
NDPPBKPF_00099	tRNA	75				tRNA-Gln(ttg)
NDPPBKPF_00100	tRNA	77				tRNA-Met(cat)
NDPPBKPF_00101	tRNA	75				tRNA-Gln(ctg)
NDPPBKPF_00102	tRNA	75				tRNA-Gln(ctg)
NDPPBKPF_00103	CDS	1176	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
NDPPBKPF_00104	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NDPPBKPF_00105	CDS	1047	ybeZ		COG1702	PhoH-like protein
NDPPBKPF_00106	CDS	474	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
NDPPBKPF_00107	CDS	948	corC		COG4535	Magnesium and cobalt efflux protein CorC
NDPPBKPF_00108	CDS	1539	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
NDPPBKPF_00109	CDS	912	gltI		COG0834	Glutamate/aspartate import solute-binding protein
NDPPBKPF_00110	CDS	741	gltJ_1		COG0765	Glutamate/aspartate import permease protein GltJ
NDPPBKPF_00111	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
