locus_tag	ftype	length_bp	gene	EC_number	COG	product
FMKKACNK_00001	tRNA	76				tRNA-Ala(tgc)
FMKKACNK_00002	rRNA	79				5S ribosomal RNA (partial)
FMKKACNK_00003	tRNA	74				tRNA-Ala(tgc)
FMKKACNK_00004	tRNA	77				tRNA-Ile(gat)
FMKKACNK_00005	tRNA	77				tRNA-Ile(gat)
FMKKACNK_00006	tRNA	77				tRNA-Arg(acg)
FMKKACNK_00007	tRNA	74				tRNA-Ala(tgc)
FMKKACNK_00008	tRNA	77				tRNA-Ile(gat)
FMKKACNK_00009	tRNA	76				tRNA-Glu(ttc)
FMKKACNK_00010	rRNA	456				16S ribosomal RNA (partial)
FMKKACNK_00011	CDS	264				hypothetical protein
FMKKACNK_00012	CDS	168				hypothetical protein
FMKKACNK_00013	CDS	255				hypothetical protein
FMKKACNK_00014	CDS	231				hypothetical protein
FMKKACNK_00015	CDS	654				hypothetical protein
FMKKACNK_00016	CDS	855				hypothetical protein
FMKKACNK_00017	CDS	354				hypothetical protein
FMKKACNK_00018	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
FMKKACNK_00019	CDS	375	yobA		COG2372	Protein YobA
FMKKACNK_00020	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
FMKKACNK_00021	CDS	657				hypothetical protein
FMKKACNK_00022	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
FMKKACNK_00023	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
FMKKACNK_00024	CDS	660	yebE		COG2979	Inner membrane protein YebE
FMKKACNK_00025	CDS	354	yebF			Protein YebF
FMKKACNK_00026	CDS	291				hypothetical protein
FMKKACNK_00027	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
FMKKACNK_00028	CDS	642	eda		COG0800	KHG/KDPG aldolase
FMKKACNK_00029	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
FMKKACNK_00030	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
FMKKACNK_00031	CDS	870	hexR_1		COG1737	HTH-type transcriptional regulator HexR
FMKKACNK_00032	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
FMKKACNK_00033	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
FMKKACNK_00034	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
FMKKACNK_00035	CDS	1002	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
FMKKACNK_00036	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
FMKKACNK_00037	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
FMKKACNK_00038	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
FMKKACNK_00039	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
FMKKACNK_00040	CDS	246				hypothetical protein
FMKKACNK_00041	CDS	651				hypothetical protein
FMKKACNK_00042	CDS	600				hypothetical protein
FMKKACNK_00043	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
FMKKACNK_00044	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
FMKKACNK_00045	CDS	453	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
FMKKACNK_00046	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
FMKKACNK_00047	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
FMKKACNK_00048	CDS	819				hypothetical protein
FMKKACNK_00049	CDS	396	yecN		COG3788	Inner membrane protein YecN
FMKKACNK_00050	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
FMKKACNK_00051	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
FMKKACNK_00052	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
FMKKACNK_00053	CDS	570	yecM		COG3102	Protein YecM
FMKKACNK_00054	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
FMKKACNK_00055	CDS	1872	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
FMKKACNK_00056	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
FMKKACNK_00057	CDS	393	flhE			Flagellar protein FlhE
